date,"Bear River (primary, near Corinne)",Bear River (upstream gap-fill),Weber River (near Plain City),Jordan River (Surplus Canal),Jordan River (1700 South),TOTAL_INFLOW_cfs
1962-11-01,,792.3666666666667,210.33333333333334,102.86666666666666,97.3,1202.8666666666666
1962-12-01,,766.9032258064516,141.03225806451613,73.48387096774194,111.48387096774194,1092.9032258064515
1963-01-01,,769.4516129032259,119.16129032258064,31.322580645161292,141.03225806451613,1060.967741935484
1963-02-01,,1684.25,241.96428571428572,0.0,172.5,2098.714285714286
1963-03-01,,941.2903225806451,159.74193548387098,60.29032258064516,112.35483870967742,1273.6774193548385
1963-04-01,,1599.4,375.93333333333334,91.93333333333334,117.63333333333334,2184.9
1963-05-01,,1316.4193548387098,693.7290322580644,160.09677419354838,88.87096774193549,2259.116129032258
1963-06-01,,953.9666666666667,217.26666666666668,270.5,78.8,1520.5333333333333
1963-07-01,,19.06451612903226,30.967741935483872,122.41935483870968,76.6774193548387,249.1290322580645
1963-08-01,,19.129032258064516,23.225806451612904,158.67741935483872,68.29032258064517,269.32258064516134
1963-09-01,,308.96666666666664,113.33333333333333,196.76666666666668,63.5,682.5666666666666
1963-10-01,635.5483870967741,525.9032258064516,101.38709677419355,151.80645161290323,78.70967741935483,1493.3548387096776
1963-11-01,1248.5666666666666,1024.6333333333334,154.66666666666666,128.53333333333333,64.93333333333334,2621.333333333333
1963-12-01,951.5483870967741,833.7096774193549,196.58064516129033,92.16129032258064,90.87096774193549,2164.8709677419356
1964-01-01,998.3870967741935,842.6774193548387,198.51612903225808,76.06451612903226,99.35483870967742,2215.0
1964-02-01,1065.5172413793102,918.3103448275862,283.7931034482759,58.41379310344828,121.17241379310344,2447.2068965517237
1964-03-01,1158.0645161290322,991.0967741935484,327.93548387096774,61.16129032258065,134.48387096774192,2672.7419354838707
1964-04-01,3050.3333333333335,2831.0,696.3,93.6,118.1,6789.333333333335
1964-05-01,2978.3870967741937,2819.6774193548385,1456.9354838709678,464.1290322580645,25.541935483870965,7744.670967741936
