date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1961-03-01,,69773.5795,9433.526000000002,4064.1915,8340.6175,91611.91450000001
1961-04-01,,57884.480500000005,5498.262000000001,2665.824,7588.870999999999,73637.4375
1961-05-01,,2649.956,922.3275,4595.1744499999995,6077.444,14244.901949999998
1961-06-01,,1416.219,610.9180000000001,2640.4352000000003,5581.569,10249.141200000002
1961-07-01,,1553.0805,384.799,4278.4095,4197.086,10413.375000000002
1961-08-01,,1499.526,184.46550000000002,3112.1115,4831.806,9627.909
1961-09-01,,9612.041000000001,2027.1370000000002,4621.555,4117.746,20378.479
1961-10-01,,33003.4565,1965.6485,4062.208,5504.212500000001,44535.525499999996
1961-11-01,,43682.620500000005,1229.7700000000002,4950.816000000001,6184.553000000001,56047.7595
1961-12-01,,46721.342500000006,6063.559499999999,3784.518,6841.0915,63410.5115
1962-01-01,,44575.1955,6400.7545,3201.369,6174.6355,60351.9545
1962-02-01,,157880.6495,28729.014000000006,4859.575000000001,5704.546000000001,197173.7845
1962-03-01,,97417.619,29474.81,8144.250999999999,3586.168,138622.848
1962-04-01,,181748.105,73395.4505,9377.988,3832.1220000000003,268353.6655
1962-05-01,,148107.94499999998,46979.1975,14513.2695,5075.7765,214676.1885
1962-06-01,,48492.608,8989.222,15304.686,6418.606,79205.122
1962-07-01,,4179.2345000000005,3877.7425,10532.385,6882.745,25472.107
1962-08-01,,1338.8625,989.5681500000001,8441.776,6434.474,17204.680650000002
1962-09-01,,1295.2255,2175.8995000000004,12367.122500000003,5926.698,21764.9455
1962-10-01,,29813.9885,6172.652000000001,7541.267,6000.0875,49527.995
1962-11-01,,47149.7785,12515.885000000002,6121.081,5789.8365,71576.58099999999
1962-12-01,,47155.729,8671.862000000001,4518.4130000000005,6854.976000000001,67200.98000000001
1963-01-01,,47312.425500000005,7327.049,1925.9785000000002,8671.862000000001,65237.315
1963-02-01,,93539.87650000001,13438.212500000001,0.0,9580.305,116558.39400000001
1963-03-01,,57878.530000000006,9822.292000000001,3707.1615,6908.530500000001,78316.51399999998
1963-04-01,,95172.297,22369.913,5470.493,6999.771500000001,130012.47450000001
1963-05-01,,80944.6515,42656.357599999996,9844.1105,5464.5425000000005,138909.6621
1963-06-01,,56765.78650000001,12928.453000000001,16096.1025,4688.994,90479.336
1963-07-01,,1172.2485000000001,1904.16,7527.382500000001,4714.7795,15318.5705
1963-08-01,,1176.2155,1428.1200000000001,9756.836500000001,4199.0695000000005,16560.241500000004
1963-09-01,,18385.0615,6743.899999999999,11708.6005,3778.5675,40616.129499999995
1963-10-01,39078.917,32337.0005,6234.140500000001,9334.351,4839.74,91824.149
1963-11-01,74295.9595,60970.806500000006,9203.44,7648.376,3863.858,155982.44
1963-12-01,58509.28299999999,51263.5575,12087.448999999999,5666.8595,5587.519499999999,133114.6685
1964-01-01,61389.32500000001,51814.970499999996,12206.459,4677.093,6109.18,136197.0275
1964-02-01,61290.149999999994,52822.5885,16324.205000000002,3360.0490000000004,6970.019,140767.0115
1964-03-01,71207.65,60941.054000000004,20164.261000000002,3760.7160000000003,8269.2115,164342.8925
1964-04-01,181510.08500000002,168458.655,41433.3315,5569.668,7027.5405,403999.2800000001
1964-05-01,183136.55500000002,173377.735,89584.77750000001,28538.598,1570.5352999999998,476208.20080000005
1964-06-01,179427.41,168607.4175,93946.494,31430.541000000005,5117.43,478529.29250000004
1964-07-01,13938.0545,5924.7145,4573.951,9451.3775,5754.1335,39642.23100000001
1964-08-01,4895.278,1398.3675,2727.3125,11908.934000000001,5373.3015000000005,26303.1935
1964-09-01,7452.009499999999,4556.0995,3774.6005,10940.986,6543.566500000001,33267.262
1964-10-01,36976.407,33160.153,6013.972000000002,7529.365999999999,7378.62,91058.51800000001
1964-11-01,59510.950500000006,54028.55650000001,7757.468500000001,6648.691999999999,6180.586,134126.2535
1964-12-01,109947.3885,101297.345,16314.2875,9941.302000000001,4862.351900000001,242362.6749
1965-01-01,105486.49699999999,98379.6165,7463.910500000001,8769.053500000002,6513.814,226612.8915
1965-02-01,118355.445,105284.18,17920.9225,8427.8915,5805.7045,255794.1435
1965-03-01,90318.6725,81133.084,25140.8625,6870.844,6728.032,210191.495
1965-04-01,160068.45,154197.29,54760.46800000001,10230.893,4091.9605,383349.0615
1965-05-01,165582.58000000002,151241.875,91578.19499999998,21384.1135,4589.8189999999995,434376.5825
1965-06-01,122838.15500000001,113595.045,65477.318499999994,33568.754,7611.28455,343090.55705
1965-07-01,40173.809,30176.969,12890.766500000002,16246.848500000002,8967.4035,108455.7965
1965-08-01,68892.90550000001,59366.155000000006,7965.736000000001,15064.6825,8259.294,159548.77300000002
1965-09-01,104193.255,92024.4825,24248.287500000002,16234.9475,7902.264000000001,244603.2365
1965-10-01,126249.775,110540.455,21423.7835,10084.114,8703.598000000002,277001.7255
1965-11-01,145509.56000000003,131406.87500000003,16026.68,6870.844000000001,7703.914000000001,307517.87299999996
1965-12-01,145331.045,131406.875,14598.560000000001,7039.4415,8203.756000000001,306579.6774999999
1966-01-01,149873.26,135909.42,10889.415,8122.4325,8231.525,313026.05250000005
